MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
Alkoholunfälle,insgesamt,2021,202101,16
Alkoholunfälle,insgesamt,2021,202102,14
Alkoholunfälle,insgesamt,2021,202103,24
Alkoholunfälle,insgesamt,2021,202104,16
Alkoholunfälle,insgesamt,2021,202105,24
Alkoholunfälle,insgesamt,2021,202106,48
Alkoholunfälle,insgesamt,2021,202107,44
Alkoholunfälle,insgesamt,2021,202108,46
Alkoholunfälle,insgesamt,2021,202109,54
Alkoholunfälle,insgesamt,2021,202110,43
Alkoholunfälle,insgesamt,2021,202111,33
Alkoholunfälle,insgesamt,2021,202112,21
Alkoholunfälle,Verletzte und Getötete,2021,202101,5
Alkoholunfälle,Verletzte und Getötete,2021,202102,9
Alkoholunfälle,Verletzte und Getötete,2021,202103,6
Alkoholunfälle,Verletzte und Getötete,2021,202104,6
Alkoholunfälle,Verletzte und Getötete,2021,202105,13
Alkoholunfälle,Verletzte und Getötete,2021,202106,39
Alkoholunfälle,Verletzte und Getötete,2021,202107,27
Alkoholunfälle,Verletzte und Getötete,2021,202108,24
Alkoholunfälle,Verletzte und Getötete,2021,202109,36
Alkoholunfälle,Verletzte und Getötete,2021,202110,27
Alkoholunfälle,Verletzte und Getötete,2021,202111,15
Alkoholunfälle,Verletzte und Getötete,2021,202112,7
Fluchtunfälle,insgesamt,2021,202101,521
Fluchtunfälle,insgesamt,2021,202102,602
Fluchtunfälle,insgesamt,2021,202103,800
Fluchtunfälle,insgesamt,2021,202104,715
Fluchtunfälle,insgesamt,2021,202105,865
Fluchtunfälle,insgesamt,2021,202106,990
Fluchtunfälle,insgesamt,2021,202107,1027
Fluchtunfälle,insgesamt,2021,202108,714
Fluchtunfälle,insgesamt,2021,202109,951
Fluchtunfälle,insgesamt,2021,202110,1053
Fluchtunfälle,insgesamt,2021,202111,849
Fluchtunfälle,insgesamt,2021,202112,788
Fluchtunfälle,Verletzte und Getötete,2021,202101,8
Fluchtunfälle,Verletzte und Getötete,2021,202102,31
Fluchtunfälle,Verletzte und Getötete,2021,202103,30
Fluchtunfälle,Verletzte und Getötete,2021,202104,38
Fluchtunfälle,Verletzte und Getötete,2021,202105,45
Fluchtunfälle,Verletzte und Getötete,2021,202106,82
Fluchtunfälle,Verletzte und Getötete,2021,202107,77
Fluchtunfälle,Verletzte und Getötete,2021,202108,41
Fluchtunfälle,Verletzte und Getötete,2021,202109,78
Fluchtunfälle,Verletzte und Getötete,2021,202110,52
Fluchtunfälle,Verletzte und Getötete,2021,202111,55
Fluchtunfälle,Verletzte und Getötete,2021,202112,17
Verkehrsunfälle,insgesamt,2021,202101,2149
Verkehrsunfälle,insgesamt,2021,202102,2252
Verkehrsunfälle,insgesamt,2021,202103,3130
Verkehrsunfälle,insgesamt,2021,202104,2901
Verkehrsunfälle,insgesamt,2021,202105,3194
Verkehrsunfälle,insgesamt,2021,202106,3786
Verkehrsunfälle,insgesamt,2021,202107,3905
Verkehrsunfälle,insgesamt,2021,202108,2852
Verkehrsunfälle,insgesamt,2021,202109,3650
Verkehrsunfälle,insgesamt,2021,202110,3857
Verkehrsunfälle,insgesamt,2021,202111,3303
Verkehrsunfälle,insgesamt,2021,202112,2993
Verkehrsunfälle,mit Personenschäden,2021,202101,157
Verkehrsunfälle,mit Personenschäden,2021,202102,219
Verkehrsunfälle,mit Personenschäden,2021,202103,290
Verkehrsunfälle,mit Personenschäden,2021,202104,330
Verkehrsunfälle,mit Personenschäden,2021,202105,369
Verkehrsunfälle,mit Personenschäden,2021,202106,643
Verkehrsunfälle,mit Personenschäden,2021,202107,624
Verkehrsunfälle,mit Personenschäden,2021,202108,449
Verkehrsunfälle,mit Personenschäden,2021,202109,594
Verkehrsunfälle,mit Personenschäden,2021,202110,491
Verkehrsunfälle,mit Personenschäden,2021,202111,368
Verkehrsunfälle,mit Personenschäden,2021,202112,280
Verkehrsunfälle,Verletzte und Getötete,2021,202101,177
Verkehrsunfälle,Verletzte und Getötete,2021,202102,249
Verkehrsunfälle,Verletzte und Getötete,2021,202103,338
Verkehrsunfälle,Verletzte und Getötete,2021,202104,386
Verkehrsunfälle,Verletzte und Getötete,2021,202105,402
Verkehrsunfälle,Verletzte und Getötete,2021,202106,737
Verkehrsunfälle,Verletzte und Getötete,2021,202107,724
Verkehrsunfälle,Verletzte und Getötete,2021,202108,533
Verkehrsunfälle,Verletzte und Getötete,2021,202109,680
Verkehrsunfälle,Verletzte und Getötete,2021,202110,561
Verkehrsunfälle,Verletzte und Getötete,2021,202111,430
Verkehrsunfälle,Verletzte und Getötete,2021,202112,334
