MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
Alkoholunfälle,insgesamt,2020,202001,28
Alkoholunfälle,insgesamt,2020,202002,40
Alkoholunfälle,insgesamt,2020,202003,27
Alkoholunfälle,insgesamt,2020,202004,26
Alkoholunfälle,insgesamt,2020,202005,40
Alkoholunfälle,insgesamt,2020,202006,49
Alkoholunfälle,insgesamt,2020,202007,58
Alkoholunfälle,insgesamt,2020,202008,46
Alkoholunfälle,insgesamt,2020,202009,46
Alkoholunfälle,insgesamt,2020,202010,34
Alkoholunfälle,insgesamt,2020,202011,23
Alkoholunfälle,insgesamt,2020,202012,13
Alkoholunfälle,insgesamt,2019,201901,22
Alkoholunfälle,insgesamt,2019,201902,28
Alkoholunfälle,insgesamt,2019,201903,34
Alkoholunfälle,insgesamt,2019,201904,36
Alkoholunfälle,insgesamt,2019,201905,39
Alkoholunfälle,insgesamt,2019,201906,40
Alkoholunfälle,insgesamt,2019,201907,48
Alkoholunfälle,insgesamt,2019,201908,31
Alkoholunfälle,insgesamt,2019,201909,47
Alkoholunfälle,insgesamt,2019,201910,45
Alkoholunfälle,insgesamt,2019,201911,29
Alkoholunfälle,insgesamt,2019,201912,35
Alkoholunfälle,insgesamt,2018,201801,22
Alkoholunfälle,insgesamt,2018,201802,24
Alkoholunfälle,insgesamt,2018,201803,32
Alkoholunfälle,insgesamt,2018,201804,25
Alkoholunfälle,insgesamt,2018,201805,34
Alkoholunfälle,insgesamt,2018,201806,39
Alkoholunfälle,insgesamt,2018,201807,51
Alkoholunfälle,insgesamt,2018,201808,40
Alkoholunfälle,insgesamt,2018,201809,36
Alkoholunfälle,insgesamt,2018,201810,43
Alkoholunfälle,insgesamt,2018,201811,31
Alkoholunfälle,insgesamt,2018,201812,21
Alkoholunfälle,insgesamt,2017,201701,19
Alkoholunfälle,insgesamt,2017,201702,22
Alkoholunfälle,insgesamt,2017,201703,36
Alkoholunfälle,insgesamt,2017,201704,26
Alkoholunfälle,insgesamt,2017,201705,29
Alkoholunfälle,insgesamt,2017,201706,41
Alkoholunfälle,insgesamt,2017,201707,52
Alkoholunfälle,insgesamt,2017,201708,30
Alkoholunfälle,insgesamt,2017,201709,47
Alkoholunfälle,insgesamt,2017,201710,32
Alkoholunfälle,insgesamt,2017,201711,33
Alkoholunfälle,insgesamt,2017,201712,42
Alkoholunfälle,insgesamt,2016,201601,21
Alkoholunfälle,insgesamt,2016,201602,10
Alkoholunfälle,insgesamt,2016,201603,20
Alkoholunfälle,insgesamt,2016,201604,27
Alkoholunfälle,insgesamt,2016,201605,25
Alkoholunfälle,insgesamt,2016,201606,30
Alkoholunfälle,insgesamt,2016,201607,35
Alkoholunfälle,insgesamt,2016,201608,34
Alkoholunfälle,insgesamt,2016,201609,29
Alkoholunfälle,insgesamt,2016,201610,30
Alkoholunfälle,insgesamt,2016,201611,20
Alkoholunfälle,insgesamt,2016,201612,20
Alkoholunfälle,insgesamt,2015,201501,22
Alkoholunfälle,insgesamt,2015,201502,23
Alkoholunfälle,insgesamt,2015,201503,23
Alkoholunfälle,insgesamt,2015,201504,29
Alkoholunfälle,insgesamt,2015,201505,50
Alkoholunfälle,insgesamt,2015,201506,39
Alkoholunfälle,insgesamt,2015,201507,49
Alkoholunfälle,insgesamt,2015,201508,49
Alkoholunfälle,insgesamt,2015,201509,45
Alkoholunfälle,insgesamt,2015,201510,25
Alkoholunfälle,insgesamt,2015,201511,30
