MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
Alkoholunfälle,insgesamt,2021,Summe,383
Alkoholunfälle,insgesamt,2021,202101,16
Alkoholunfälle,insgesamt,2021,202102,14
Alkoholunfälle,insgesamt,2021,202103,24
Alkoholunfälle,insgesamt,2021,202104,16
Alkoholunfälle,insgesamt,2021,202105,24
Alkoholunfälle,insgesamt,2021,202106,48
Alkoholunfälle,insgesamt,2021,202107,44
Alkoholunfälle,insgesamt,2021,202108,46
Alkoholunfälle,insgesamt,2021,202109,54
Alkoholunfälle,insgesamt,2021,202110,43
Alkoholunfälle,insgesamt,2021,202111,33
Alkoholunfälle,insgesamt,2021,202112,21
Fluchtunfälle,insgesamt,2021,Summe,9875
Fluchtunfälle,insgesamt,2021,202101,521
Fluchtunfälle,insgesamt,2021,202102,602
Fluchtunfälle,insgesamt,2021,202103,800
Fluchtunfälle,insgesamt,2021,202104,715
Fluchtunfälle,insgesamt,2021,202105,865
Fluchtunfälle,insgesamt,2021,202106,990
Fluchtunfälle,insgesamt,2021,202107,1027
Fluchtunfälle,insgesamt,2021,202108,714
Fluchtunfälle,insgesamt,2021,202109,951
Fluchtunfälle,insgesamt,2021,202110,1053
Fluchtunfälle,insgesamt,2021,202111,849
Fluchtunfälle,insgesamt,2021,202112,788
Verkehrsunfälle,insgesamt,2021,Summe,37972
Verkehrsunfälle,insgesamt,2021,202101,2149
Verkehrsunfälle,insgesamt,2021,202102,2252
Verkehrsunfälle,insgesamt,2021,202103,3130
Verkehrsunfälle,insgesamt,2021,202104,2901
Verkehrsunfälle,insgesamt,2021,202105,3194
Verkehrsunfälle,insgesamt,2021,202106,3786
Verkehrsunfälle,insgesamt,2021,202107,3905
Verkehrsunfälle,insgesamt,2021,202108,2852
Verkehrsunfälle,insgesamt,2021,202109,3650
Verkehrsunfälle,insgesamt,2021,202110,3857
Verkehrsunfälle,insgesamt,2021,202111,3303
Verkehrsunfälle,insgesamt,2021,202112,2993
